Prow	Ppos	Dia_20	Gkva_10	Gkva_20	Hjd_20	Hjd_3	Host_10	Klyk_10	Klyk_20	Lev_3	Planta	Rad	Rak_10	Rak_20	Ruta	Sortnr	Vit_20	Vit_3	Origin	Trial
6	1	5.4	7	5	9.1	64	1	0	0	1	1	1	3	5	1	117	3	3	Sweden	F627
6	2	4.8	1	5	6.6	69	1	1	0	1	2	1	3	5	1	116	3	2	Sweden	F627
6	3	3.8	7	5	6.5	76	1	0	0	1	3	1	3	3	1	111	3	3	Sweden	F627
6	4	11.3	7	5	14.1	99	2	0	0	1	4	1	1	5	1	117	3	3	Sweden	F627
6	5	6.2	1	5	9.6	103	1	2	0	1	5	1	4	4	1	113	3	3	Sweden	F627
7	1	NA	1	NA	NA	110	1	1	NA	1	1	2	4	NA	1	111	0	3	Sweden	F627
7	2	10.9	7	5	13.7	57	2	1	0	1	2	2	2	5	1	115	3	3	Sweden	F627
7	3	10.5	9	5	13.9	76	2	0	0	1	3	2	2	5	1	110	3	3	Sweden	F627
7	4	12.3	1	5	15	135	1	1	1	1	4	2	4	5	1	119	3	3	Sweden	F627
7	5	11.2	7	5	14.2	87	2	0	0	1	5	2	2	5	1	112	3	3	Sweden	F627
8	1	NA	1	NA	NA	91	1	2	NA	1	1	3	5	NA	1	116	0	3	Sweden	F627
8	2	11	7	5	14.8	91	2	0	0	1	2	3	3	5	1	118	3	3	Sweden	F627
8	3	8.2	1	5	13.6	93	2	1	1	1	3	3	3	3	1	119	3	3	Sweden	F627
8	4	9.8	9	5	15	104	1	0	1	1	4	3	1	5	1	117	3	3	Sweden	F627
8	5	11	1	5	13.9	122	2	0	0	1	5	3	1	5	1	114	3	3	Sweden	F627
9	1	9.8	1	5	12.4	114	1	0	1	1	1	4	3	4	1	110	3	3	Sweden	F627
9	2	11.4	7	5	15.5	130	1	0	0	1	2	4	1	5	1	111	3	3	Sweden	F627
9	3	7.1	1	5	9.1	81	1	2	2	1	3	4	4	5	1	114	3	3	Sweden	F627
9	4	7.1	1	5	11.2	101	1	0	1	1	4	4	3	5	1	112	3	3	Sweden	F627
9	5	NA	5	NA	NA	51	2	2	NA	1	5	4	5	NA	1	118	0	2	Sweden	F627
10	1	7.4	7	5	12.6	61	1	0	0	1	1	5	2	4	1	118	3	2	Sweden	F627
10	2	10.1	7	5	14.6	66	2	0	0	1	2	5	2	5	1	116	3	3	Sweden	F627
10	3	9.5	1	5	13.4	92	2	0	1	1	3	5	3	4	1	116	3	3	Sweden	F627
10	4	4.8	5	5	7.7	114	1	1	2	1	4	5	3	5	1	111	1	3	Sweden	F627
10	5	15.1	1	5	15.9	90	3	2	1	1	5	5	3	5	1	114	3	3	Sweden	F627
11	1	10.5	5	5	14.5	118	3	0	0	1	1	1	2	5	2	10	3	3	Sweden	F627
11	2	10.6	1	5	14.5	105	3	0	0	1	2	1	3	4	2	10	3	3	Sweden	F627
11	3	9.6	1	5	14.3	120	4	1	0	1	3	1	3	5	2	10	3	3	Sweden	F627
11	4	12.1	1	5	15.3	116	5	0	0	1	4	1	2	5	2	10	3	3	Sweden	F627
11	5	9.8	1	5	14.4	92	4	0	0	1	5	1	3	3	2	10	3	3	Sweden	F627
12	1	12.7	1	5	17.1	57	3	0	0	1	1	2	2	3	2	10	3	3	Sweden	F627
12	2	8.1	5	5	13.3	95	4	1	0	1	2	2	3	4	2	10	3	3	Sweden	F627
12	3	10.9	5	5	15.1	104	4	1	0	1	3	2	3	5	2	10	3	3	Sweden	F627
12	4	8.3	7	5	14.4	105	4	1	0	1	4	2	3	4	2	10	3	3	Sweden	F627
12	5	12.5	7	5	14.9	121	5	0	0	1	5	2	3	4	2	10	3	3	Sweden	F627
13	1	6.6	7	5	10.6	65	2	1	2	1	1	3	3	5	2	10	3	3	Sweden	F627
13	2	12.6	1	5	16.2	87	4	2	2	1	2	3	4	3	2	10	3	3	Sweden	F627
13	3	3.5	1	5	6.5	61	4	0	2	1	3	3	3	5	2	10	2	3	Sweden	F627
13	4	5.5	1	5	7.7	122	3	1	4	1	4	3	3	5	2	10	3	3	Sweden	F627
13	5	9.9	1	5	15.6	119	5	0	0	1	5	3	2	5	2	10	3	3	Sweden	F627
14	1	10.5	1	5	14.1	83	5	1	0	1	1	4	2	5	2	10	3	3	Sweden	F627
14	2	8.9	5	5	13	89	4	2	2	1	2	4	3	5	2	10	3	3	Sweden	F627
14	3	9.1	1	5	14.4	70	5	1	0	1	3	4	3	5	2	10	3	3	Sweden	F627
